Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
SORLIMAR SRL,R4062650,Dragodana,8,2026.07,Operatori mici
BASAROM PRODCOM SRL,R6496389,Bacau,8,2026.07,Operatori mici
TRANS GMC SRL,R23690325,Bosanci,8,2026.07,Operatori mici
CIORNEI PROD,R7619544,Suceava,8,2026.07,Operatori mici
VIKING LOGISTIC SRL,R27631631,Voluntari,9,2026.07,Operatori mici
NIVIRO TUR SRL,R33776416,Seini,9,2026.07,Operatori mici
MOBEL TRANS INTERNATIONAL,R13849041,Sebis,9,2026.07,Operatori mici
SELMAW SRL,R16582681,Santion,9,2026.07,Operatori mici
IMPEX ANGMAR SRL,R10747330,Baia Mare,9,2026.07,Operatori mici
V.R.G. ROBY TRANS SRL,R22584725,Onesti,10,2026.07,Operatori medii 1
ION ANDRA TRANS COM S.R.L.,R7595178,Marca,10,2026.07,Operatori medii 1
ROVENTA,R16068436,Baia Mare,11,2026.07,Operatori medii 1
DAROM EUROSAT SRL,R13125073,Pitesti,11,2026.07,Operatori medii 1
BOLINTIS GRUP,R16897779,Daia,11,2026.07,Operatori medii 1
DAMYMAR GLOBAL LOGISTIC SRL,R40039646,Jilava,12,2026.07,Operatori medii 1
CMCC SCHIMPF SPEDITION ROMANIA SRL,R11985950,Pitesti,6,2026.07,Operatori mici
MIHMIR SPEED LOGISTIC SRL,R29135685,Pitesti,6,2026.07,Operatori mici
ELADO TRANS SRL,R18197399,Campulung Moldovenesc,6,2026.07,Operatori mici
VOLTRANS SA,R1772416,Sebes,6,2026.07,Operatori mici
RG HOLZ COMPANY SRL,R12178568,Viseu de Sus,6,2026.07,Operatori mici
EUXIN TRUCKS SRL,R14973799,"Bucuresti,sector 1",6,2026.07,Operatori mici
AGROTRANS MARS LOGISTIC,R30533080,STEFAN CEL MARE,6,2026.07,Operatori mici
TRUK-IERBAC,R10103887,Bosanci,7,2026.07,Operatori mici
VEST EURO MARKETING,R2719224,Oradea,7,2026.07,Operatori mici
PANIPAT ALEX SRL,R5756987,Roscani,7,2026.07,Operatori mici
MARILUC COM SRL,R8737394,Ograda,7,2026.07,Operatori mici
ROMEX SRL,R1196453,Targu Mures,8,2026.07,Operatori mici
DANCOMIR TRANS,R19030592,Milisauti,8,2026.07,Operatori mici
RIODOR TRANS,R14865770,Suceava,8,2026.07,Operatori mici
ACS TRANSPORTING EURO SRL,R25588845,Chisoda,8,2026.07,Operatori mici
MARIAN TIR SRL,R12601632,Zalau,8,2026.07,Operatori mici
DAIDADO TRANS SRL,R9462356,Piscu,8,2026.07,Operatori mici
PURTRANS,R12739342,Slatioara,8,2026.07,Operatori mici
VENETO CARGO SRL,R27604882,Sicula,9,2026.07,Operatori mici
INTERMONTANA SRL,R18362682,Suceava,9,2026.07,Operatori mici
WETO TRANS SRL,R19754676,Cisnadie,9,2026.07,Operatori mici
CARGO EXPRES SPEDITION SA,R7290440,Pitesti,9,2026.07,Operatori mici
SOTOVA TRANS SRL,R14747635,Astileu,9,2026.07,Operatori mici
TRANSMAR SRL,R6739976,Constanta,9,2026.07,Operatori mici
B.M EURO TRANS SRL,R20064688,Sibiu,10,2026.07,Operatori medii 1
LEMN BAIC SRL,R17160090,Stei,11,2026.07,Operatori medii 1
REGAL TAXIPAN SRL,R14614060,Campulung,11,2026.07,Operatori medii 1
TRAFIC TURBO TUR SRL,R10550320,Sovata,11,2026.07,Operatori medii 1
MPS CARMPROD SRL,R34117570,poplaca,12,2026.07,Operatori medii 1
CVORUM TRANS SRL,R8475307,Targoviste,7,2026.07,Operatori mici
AMAGEO SRL,R12936557,Craiova,7,2026.07,Operatori mici
AS LINE SPEDITION,R34712828,Arad,7,2026.07,Operatori mici
VKV CARPLUS SRL,R32397554,Constanta,7,2026.07,Operatori mici
SPOREA COM SRL,R4224051,Oravita,7,2026.07,Operatori mici
MANOLO,R6527701,Zabalt,7,2026.07,Operatori mici
MAVI TRANS 2001,R13836386,Popesti Leordeni,8,2026.07,Operatori mici
AVICARVIL S.R.L,R18658662,Frincesti,8,2026.07,Operatori mici
INC 1975 SRL,R24703857,Timisoara,8,2026.07,Operatori mici
CARMO-LACT PROD,R5908104,Monor,8,2026.07,Operatori mici
GRANI PROD COM SRL,R7688447,Gura Sutii,9,2026.07,Operatori mici
MIG PAF,R16994941,Huedin,9,2026.07,Operatori mici
MCP CO TRANS SRL,R34485210,Roznov,10,2026.07,Operatori medii 1
LINDA ECOTIL SRL,R17576106,Suceava,10,2026.07,Operatori medii 1
TRANS MONTANA SRL,R7432324,Sibiu,10,2026.07,Operatori medii 1
REMAT MG S.A.,R1689176,Arad,10,2026.07,Operatori medii 1
BURLACU  ALYSEB LOGISTIC SRL,R30346147,Targoviste,11,2026.07,Operatori medii 1
SC PALMEX CM SRL,R28419867,Galati,11,2026.07,Operatori medii 1
TRANS C.A.S. SRL,R14836511,Sibiu,11,2026.07,Operatori medii 1
RUTA INTERNATIONAL SRL,R6854029,Radauti,11,2026.07,Operatori medii 1
EURO EXPEDITII SRL,R11913067,Focsani,11,2026.07,Operatori medii 1
VALEX LOGISTIC SRL,R20848405,Arad,12,2026.07,Operatori medii 1
VINEXPORT TRADE MARK SA,R1441072,Focsani,8,2026.07,Operatori mici
TST TOTAL SPEDITION TRANSPORT S.R.L.,R25778866,Oradea,8,2026.07,Operatori mici
EURO-NIGA SRL,R18673468,Frumosu,8,2026.07,Operatori mici
MABU SRL,R14467155,Oradea,8,2026.07,Operatori mici
TOMIS SRL,R668051,Botiz,9,2026.07,Operatori mici
PLIMOB S.A.,R2215286,Sighetul Marmatiei,9,2026.07,Operatori mici
MILI RUN S.R.L.,R936480,Moreni,10,2026.07,Operatori medii 1
BALKAN DRINKS SRL,R14616826,Slobozia,10,2026.07,Operatori medii 1
ORZAN SPEDT SRL,R5782757,Baia Mare,10,2026.07,Operatori medii 1
ICE AGE,R16769761,Constan?a,10,2026.07,Operatori medii 1
KIRLAN PROD COM SRL,R6888749,Baia Mare,11,2026.07,Operatori medii 1
CHIMTRANS OVIDIU SRL,R4637406,Nusfalau,11,2026.07,Operatori medii 1
ROLLING TONS,R16781510,Satu Mare,12,2026.07,Operatori medii 1
DOR TRANS COMPANY SRL,R9209346,Satu Mare,9,2026.07,Operatori mici
GEVAS INTERMED SRL,R13826390,Ograda,9,2026.07,Operatori mici
MARIA TRADING SRL,R7471897,Constanta,10,2026.07,Operatori medii 1
OMEGA TRANS SRL,R6629809,Sibiu,10,2026.07,Operatori medii 1
GIMDAN SPED SRL,R6569391,Dumbrava,10,2026.07,Operatori medii 1
SORI-NIS S.R.L.,R6036380,Volovat,11,2026.07,Operatori medii 1
LORD CAT TRANS SRL,R15368249,Popesti Leordeni,11,2026.07,Operatori medii 1
CLAR TRANS SRL,R14364311,Cluj Napoca,11,2026.07,Operatori medii 1
CORO TRANS IMPEX SRL,R9303148,Campia Turzii,11,2026.07,Operatori medii 1
METALCOMP INTERNATIONAL,R11291754,Arad,11,2026.07,Operatori medii 1
VELOX LOGISTICS CENTER SRL,R25360919,Bascov,11,2026.07,Operatori medii 1
OCEAN FISH S.R.L.,R10716873,Afumati,11,2026.07,Operatori medii 1
MOLDIS CAR SRL,R27730210,Valcele,12,2026.07,Operatori medii 1
KOJEX TRANS,R5099984,Sasca Mica,12,2026.07,Operatori medii 1
AUTOSERVICE SRL,R739438,Radauti,12,2026.07,Operatori medii 1
TRANS POPIKAS SRL,R25969815,Radauti,1,2026.07,Operatori mici
MG WEMBLEY TRANS SRL,R32838308,Radauti,1,2026.07,Operatori mici
FLORI STYLE SRL,R21737251,Oradea,1,2026.07,Operatori mici
BIA&LARI TRANS SRL,R21889993,Oradea,1,2026.07,Operatori mici
FLYTRANS,R13959320,Radauti,1,2026.07,Operatori mici
BLT EUROTRANS SRL,R50301239,Oradea,1,2026.07,Operatori mici
FABRIS SRL,R22990510,Oradea,1,2026.07,Operatori mici
SPEED MALINI FAMILY S.R.L.,R37920629,Malini,1,2026.07,Operatori mici
NORTH TRANSPORTE,R44315175,Suceava,1,2026.07,Operatori mici
FOX EURO TRANS SRL,R47370018,Suceava,1,2026.07,Operatori mici
CUCU BROTHERS SRL,R27533064,Suceava,1,2026.07,Operatori mici
BOREURO TRANS SRL,R32397708,Suceava,1,2026.07,Operatori mici
ALEXANDRU TRADING SOLUTION SRL,R43549690,Suceava,1,2026.07,Operatori mici
FARTATRANS S.R.L.,R22514614,Suceava,1,2026.07,Operatori mici
DANIMOL DAN SRL,R30655312,Suceava,1,2026.07,Operatori mici
LCD VEHICULE TRANS,R31628537,Timisoara,1,2026.07,Operatori mici
E & B EXPEDITION LOGISTICS 2017 SRL,R37521822,Sacalaz,1,2026.07,Operatori mici
CAN BY ADELIN SRL,R39611158,Mihail Kogalniceanu,1,2026.07,Operatori mici
II PETRUS FLOREA,R29095874,Jebel,1,2026.07,Operatori mici
SC MGA TRANS EXPRESS SRL,R51455600,Covaci,1,2026.07,Operatori mici
TRANS-AR SRL,R25036441,Dragsina,1,2026.07,Operatori mici
TIMCOMROM SRL,R49635219,Timisoara,1,2026.07,Operatori mici
WAVE ROAD S.R.L.,R52876276,Timisoara,1,2026.07,Operatori mici
KARI YANNIS SPEDITION SRL,R42138417,Baile Govora,1,2026.07,Operatori mici
GOKCAM TRANSPORT SRL,R54527256,Sibiu,1,2026.07,Operatori mici
FAMILY SPEED LOGISTIC SRL,R49056667,Sibiu,1,2026.07,Operatori mici
MERSAL SIB SRL,R40064887,Saliste,1,2026.07,Operatori mici
HASTUR ACTIV SRL,R38557530,Selimbar,1,2026.07,Operatori mici
HAR & ALEX SRL,R18686840,Decebal,1,2026.07,Operatori mici
HPA LOGISTICS SRL,R45311040,Zalau,1,2026.07,Operatori mici
BEKMEZCI LOGISTICS SRL,R39538782,Zalau,1,2026.07,Operatori mici
TIMSAN BUCOVINA,R39570481,Baia,1,2026.07,Operatori mici
DACIAN LOGISTIC SRL,R42568767,Satu Mare,1,2026.07,Operatori mici
GEMATEX TRADING SRL,R6710384,Bucuresti,1,2026.07,Operatori mici
ERREDI DISTRIBUTION SRL,R6637704,Bucuresti,1,2026.07,Operatori mici
PRIMATRANS SRL,R12772586,Bucuresti,1,2026.07,Operatori mici
DANCO INTERTRANS,R12846470,Bucuresti,1,2026.07,Operatori mici
GRIVSOR SPEDITION SRL,R6036828,Bucuresti,1,2026.07,Operatori mici
GEBETO IMPEX SRL,R3020070,Bucuresti,1,2026.07,Operatori mici
LORIS TRANSCAR SRL,R30518889,Calafindesti,1,2026.07,Operatori mici
PETEA UK IMPORT EXPORT S.R.L,R36836164,Campulung Moldovenesc,1,2026.07,Operatori mici
87RCG CARGO&LOGISTIC SRL,R40595803,Campulung Moldovenesc,1,2026.07,Operatori mici
ASATRANSPORTER SRL,R36483666,Campulung Moldovenesc,1,2026.07,Operatori mici
TREXPORT INTERNATIONAL LOJISTIK NEW SRL,R54086451,Bucuresti,1,2026.07,Operatori mici
WARRIORS SPEEDITION SRL,R45786561,Falticeni,1,2026.07,Operatori mici
LARGA  NORD SRL,R51428428,Dumbraveni,1,2026.07,Operatori mici
SC ENERGY PROD SRL,R47557998,Darmanesti,1,2026.07,Operatori mici
NGP EXPED SRL.,R40457584,Bucuresti,1,2026.07,Operatori mici
MIRROR V JOBS SRL,R24801529,Bucuresti,1,2026.07,Operatori mici
OMEGA FORUM SRL,R33993970,Bucuresti,1,2026.07,Operatori mici
YENER TRANS EUROPE SRL,R47096991,Bucuresti,1,2026.07,Operatori mici
FULL MOON RETAIL SRL,R42942623,Bucuresti,1,2026.07,Operatori mici
EFORIE LOGISTIC S.R.L.,R51574849,Bucuresti,1,2026.07,Operatori mici
DERSIM TRANS LOJISTIK SRL,R51109186,Bucuresti,1,2026.07,Operatori mici
ORCA GLOBAL SRL,R47684223,Bucuresti,1,2026.07,Operatori mici
SCLTRANS SRL,R51331831,Bucuresti,1,2026.07,Operatori mici
MARIBIA INTERNATIONAL TRANS SRL,R25238378,Bucuresti,1,2026.07,Operatori mici
GEAMANU IMPEX S.R.L.,R16037588,Bucuresti,1,2026.07,Operatori mici
COSMION TRANS COM SRL,R17563912,Bucuresti,1,2026.07,Operatori mici
MARBRUM INVESTMENT HOLDING SRL,R27880993,Bucuresti,1,2026.07,Operatori mici
ALIWEB CANDLES SRL,R31850583,Bucuresti,1,2026.07,Operatori mici
ALESS & STEFAN JIA TRANS SRL,R22493902,Bucuresti,1,2026.07,Operatori mici
PAUL TIL SRL,R36177268,Tilisca,1,2026.07,Operatori mici
RYMAH GRUP SRL,R49005558,Valu Lui Traian,1,2026.07,Operatori mici
BREK ROM SRL,R8562888,Valea Vinului,1,2026.07,Operatori mici
SALANTUR LOGISTIC S.R.L.,R47049434,Talmaciu,1,2026.07,Operatori mici
GERY FORY SRL,R46941981,Vulcana Bai,1,2026.07,Operatori mici
ALL IN ONE TRANS SPED SRL,R54477395,Talmaciu,1,2026.07,Operatori mici
G.H. INT SPED LOGISTIC,R52451194,Talmaciu,1,2026.07,Operatori mici
AK SU SPEED LOGISTIC S.R.L.,R48096566,Talmaciu,1,2026.07,Operatori mici
TEISA AUTOTRANS SRL,R29115122,Gorban,1,2026.07,Operatori mici
OLESEA EUROTRANSPORT SRL,R29892854,Gorban,1,2026.07,Operatori mici
VLADIGO EUROTRANS S.R.L,R33931897,Gorban,1,2026.07,Operatori mici
LEON TRUCK SPEDITION SRL,R34488519,Visina,1,2026.07,Operatori mici
BEKEM TRANSPORT 42 SRL,R47273961,Vladimirescu,1,2026.07,Operatori mici
ERY&ALE TRANSPORT SRL,R53405390,Segarcea,1,2026.07,Operatori mici
BOSNAK GROUP LOJISTIK,R53571946,Talmaciu,1,2026.07,Operatori mici
MGS SHOPPING SRL,R22779514,Sura Mare,1,2026.07,Operatori mici
POLIFOM-EXIM SRL,R33898650,Tomesti,1,2026.07,Operatori mici
ARIA TRANS S.R.L.,R49363564,Tomesti,1,2026.07,Operatori mici
SUD DIFFUSION S.R.L,R13040635,Viseu de Sus,1,2026.07,Operatori mici
EMINICO MAN TRANSPORT & EXPEDITII SRL,R37449867,Urlati,1,2026.07,Operatori mici
BEST BLACK LION'S SRL,R51248222,Tileagd,1,2026.07,Operatori mici
IKILER TRANSPORT SRL,R47273988,Tileagd,1,2026.07,Operatori mici
LORENA AGRO PARTENER SRL,R38630593,Topoloveni,1,2026.07,Operatori mici
IKAR SISTEM LOGISTIC SRL,R45731701,Tarlungeni,1,2026.07,Operatori mici
SC PETRI INTERTRANS SRL,R52724324,Oinacu,1,2026.07,Operatori mici
L.C.C. LUCA LOGISTIC SRL,R43756114,Sanpetru,1,2026.07,Operatori mici
BEIU TRANS SRL,R50359605,Ovidiu,1,2026.07,Operatori mici
KEVIN MIHAI TRANS SRL,R44142686,Isalnita,1,2026.07,Operatori mici
LUIGI BEST TRANS,R51696676,Filiasi,1,2026.07,Operatori mici
CIOSNARI TRANS,R12483669,Vama,1,2026.07,Operatori mici
GRI COM,R2692463,Vama,1,2026.07,Operatori mici
ANATEO MILES SRL,R39717516,Zimnicea,1,2026.07,Operatori mici
TRANS IBERIA EXPRES SRL,R19113183,Stefanesti,1,2026.07,Operatori mici
CRIS BIANCA TRANS SPEDITION,R17676989,Stefanesti,1,2026.07,Operatori mici
AGROAUTO-BG FILIALA S.R.L,R40514280,Malu Mare,1,2026.07,Operatori mici
SC AUTO VER-GAM  SRL,R51396024,Pascani,1,2026.07,Operatori mici
RO MAE TRANSPORT SRL,R49800782,Navodari,1,2026.07,Operatori mici
INGRYD MGI EXPEDITIONS SRL,R42620423,Navodari,1,2026.07,Operatori mici
BUYUK TRANS SRL,R52187760,Navodari,1,2026.07,Operatori mici
GDF LIVESTOCK SRL,R30589146,Santion,1,2026.07,Operatori mici
GARDALAND SRL,R17874706,Sanmartin,1,2026.07,Operatori mici
M&A CONFORT FOOD SRL,R29948599,Popesti Leordeni,1,2026.07,Operatori mici
LAURTRIFU S.R.L,R36478473,Popesti Leordeni,1,2026.07,Operatori mici
FORTRANS PERFORMANS LOGISTICS S.R.L.,R39140280,Stefanestii de Jos,1,2026.07,Operatori mici
INTOL TRANSPORT DELIVERY SRL,R43549313,Onesti,1,2026.07,Operatori mici
CEVIKER LOGISTIC SRL,R53176750,Pecica,1,2026.07,Operatori mici
ROADLIN TEAM SRL,R30415867,Voluntari,1,2026.07,Operatori mici
DAVINA TRANSSPED SRL,R27157911,Hotarele,1,2026.07,Operatori mici
NORTHHILL SRL,R47414394,Voluntari,1,2026.07,Operatori mici
KATY &  KLI  INTERTRANS SRL,R48552298,Poiana Lacului,1,2026.07,Operatori mici
FILCOS TRANS FORESTA SRL,R32451610,Priboieni,1,2026.07,Operatori mici
TITANIC TRANS SRL,R10890984,Sebes,1,2026.07,Operatori mici
EXPRES TEAM SRL,R24339366,Tulcea,1,2026.07,Operatori mici
DYNAMEX NOVATRANS,R33773746,Sebes,1,2026.07,Operatori mici
HALA DE PESTE,R14688717,Tulcea,1,2026.07,Operatori mici
TOPZONE SRL,R23440914,Topolog,1,2026.07,Operatori mici
TRANS DENIHAF SRL,R26178525,Poienile de Sub Munte,1,2026.07,Operatori mici
INDUTRANS VGV SRL VASLUI,R17844969,Vaslui,1,2026.07,Operatori mici
BURGAZ GLASS SYSTEM SRL,R42062637,Eforie Nord,1,2026.07,Operatori mici
LOGISTIC TIR TRANSPORT SUD SRL,R42234783,Turnu Magurele,1,2026.07,Operatori mici
ROFEURO LOGISTIC SRL,R43119111,Focsani,1,2026.07,Operatori mici
MARISAJOHN SRL,R26257459,Focsani,1,2026.07,Operatori mici
SERMOLDO SRL,R38639444,Berezeni,1,2026.07,Operatori mici
VALMADTRANS SRL,R44380556,Satu Nou,1,2026.07,Operatori mici
HERMAIA QUANTUM SRL,R42302519,Trestiana,1,2026.07,Operatori mici
B. AMGV EUROTRANS SRL,R50372507,Muntenii de Sus,1,2026.07,Operatori mici
BTMV&GLOBAL TRANS SRL,R47189519,Vaslui,1,2026.07,Operatori mici
ROMOLDFRUCT SRL,R46045485,Vaslui,1,2026.07,Operatori mici
CAR-BEM AUTO S.R.L.,R40001609,Vaslui,1,2026.07,Operatori mici
CRISTEOTRANSPORT SRL,R41073689,Vaslui,1,2026.07,Operatori mici
VLAITRANS SRL,R54023470,Vaslui,1,2026.07,Operatori mici
ALICRIS LOGISTICS SRL,R53310126,Vaslui,1,2026.07,Operatori mici
BTM GLOBAL TRUCK SRL,R53071509,Vaslui,1,2026.07,Operatori mici
SPEDTRUCK SRL,R54319522,Vaslui,1,2026.07,Operatori mici
STRATANMIRA TRANS SRL,R45180785,Vaslui,1,2026.07,Operatori mici
BACONY SRL,R8960379,Mihaesti,1,2026.07,Operatori mici
AGRO HOLDING ANNABELLA SRL,R21740222,Dragasani,1,2026.07,Operatori mici
AVANTI CARGO SRL,R32632668,Otesani,1,2026.07,Operatori mici
AUTOTRANSPORT NEAGOE GAZ SRL,R42390197,Ionesti,1,2026.07,Operatori mici
IONVER TRANS SRL,R51461580,Horezu,1,2026.07,Operatori mici
POMIN TRANSPORT SRL,R22537111,Maldaresti,1,2026.07,Operatori mici
DISPO LOGISTIC SRL,R43538438,Ramnicu Valcea,1,2026.07,Operatori mici
ANETRANSCARGO SRL,R51868011,Ramnicu Valcea,1,2026.07,Operatori mici
DAROIL TRANS SRL,R27794019,Ramnicu Valcea,1,2026.07,Operatori mici
POPA IMPEX SRL,R2536812,Ramnicu Valcea,1,2026.07,Operatori mici
DENSYNA TRANSPORT SRL,R28482740,Ramnicu Valcea,1,2026.07,Operatori mici
GENERAL AUTO INTERNATIONAL SRL,R12932270,Ramnicu Valcea,1,2026.07,Operatori mici
ACTROS SRL,R14197175,Ramnicu Valcea,1,2026.07,Operatori mici
IGORIKA SRL,R27301374,Miercurea Ciuc,1,2026.07,Operatori mici
WABERER`S ROMANIA S.A.,R10610111,Miercurea Ciuc,1,2026.07,Operatori mici
DARIUS-SERVICII TRANSPORT MARFA S.R.L.,R28994627,Balotesti,1,2026.07,Operatori mici
SERCO TRADE SRL,R18085964,Buftea,1,2026.07,Operatori mici
BLACK ROSE EXPERIENCE SRL,R47732428,Chiajna,1,2026.07,Operatori mici
GURKAN LOJISTIK SRL,R46339499,Cornetu,1,2026.07,Operatori mici
YILMAZLAR TRANS SRL,R33430772,Clinceni,1,2026.07,Operatori mici
NMS PRIME SRL,R38225167,Buftea,1,2026.07,Operatori mici
KBT LOGISTICS SRL,R48775087,Buftea,1,2026.07,Operatori mici
LAND LINER INTERNATIONAL SR,R52888661,Bragadiru,1,2026.07,Operatori mici
JIYAN GLOBAL SRL,R53854608,Bragadiru,1,2026.07,Operatori mici
SEMBOL TRANS SRL,R52477445,Bragadiru,1,2026.07,Operatori mici
LA VITESSE TRANS SPEDITION S.R.L.,R32715747,Bragadiru,1,2026.07,Operatori mici
RUMELI TRANSPORT S.R.L.,R48839377,Bragadiru,1,2026.07,Operatori mici
AUTO ELLICON,R35297738,Bragadiru,1,2026.07,Operatori mici
CLAUS TRANSPED SOLUTIONS SRL,R48942860,Pantelimon,1,2026.07,Operatori mici
INTERMOBILI FURNITURE SOFA,R45572665,Pantelimon,1,2026.07,Operatori mici
SOPHY LOGISTIC,R27742800,Mogosoaia,1,2026.07,Operatori mici
GYOSPY AGRO TRANS SRL,R44572624,Dobroesti,1,2026.07,Operatori mici
SMYRNA LOGISTIC SRL,R38870596,Dobroesti,1,2026.07,Operatori mici
MOLDBITGRUP,R33331159,Iasi,1,2026.07,Operatori mici
LOGISTID SRL,R33161518,Iasi,1,2026.07,Operatori mici
ION MATRANS SRL,R20950463,Iasi,1,2026.07,Operatori mici
SILICOM TRANSCOM SRL,R27772967,Iasi,1,2026.07,Operatori mici
TRANSIUG LTA SRL,R39651799,Galati,1,2026.07,Operatori mici
REKO BYT SPEED,R45629494,Galati,1,2026.07,Operatori mici
DXF QUICK ROADRUNNER,R41834089,Galati,1,2026.07,Operatori mici
MITRANS SRL,R21954153,Galati,1,2026.07,Operatori mici
ANDREI SI ALESIA TRANS SRL,R29391896,Targoviste,1,2026.07,Operatori mici
TRAMI EXPEDITION SRL,R28523239,Targoviste,1,2026.07,Operatori mici
FAB ACTIV TRANS SRL,R44122506,Targoviste,1,2026.07,Operatori mici
MARIO DANIEL LOGISTIC SRL,R42922820,Craiova,1,2026.07,Operatori mici
PENTONS INTERTRANS SRL,R41438416,Craiova,1,2026.07,Operatori mici
HR EXPRESS SILOGIC S.R.L.,R50284227,Craiova,1,2026.07,Operatori mici
RTM TRUCKS SRL,R50618734,Craiova,1,2026.07,Operatori mici
CSA  ALSO TRANS SRL,R44113192,Craiova,1,2026.07,Operatori mici
VIATRANS SUINTER SRL,R31673481,Craiova,1,2026.07,Operatori mici
RABMUB TRANS SRL,R38800400,Bustuchin,1,2026.07,Operatori mici
JAMOCA SPED S.R.L.,R33648956,Bisericani,1,2026.07,Operatori mici
SEBA INTERTRANS SRL,R31749075,Deva,1,2026.07,Operatori mici
VLD LOGISTIC SRL,R22579940,Giurgiu,1,2026.07,Operatori mici
ATS ALP TRANSPORT SRL,R28116642,Ilia,1,2026.07,Operatori mici
SOREY DECONT TRADE,R46127984,Targu Jiu,1,2026.07,Operatori mici
RADESERB TRANS 78 SRL,R45427797,Targu Jiu,1,2026.07,Operatori mici
MULTIGROUP PAUN TRANS SRL,R44903590,Targu Jiu,1,2026.07,Operatori mici
KREYTA IDEAL TRANSPORT SRL,R41618310,Gaiseni,1,2026.07,Operatori mici
CALEA FERATA INGUSTA SRL,R14689445,Criscior,1,2026.07,Operatori mici
SC DENS FAST TRANS SRL,R45063815,Targu Jiu,1,2026.07,Operatori mici
ELEOMARIDOR SRL,R27972590,Adunatii Copaceni,1,2026.07,Operatori mici
ICOTRANS SRL,R14485372,Adunatii Copaceni,1,2026.07,Operatori mici
VIS&LUCIAN TRANSPORT S.R.L,R47466733,Bolintin Deal,1,2026.07,Operatori mici
GAVAN EUROTRANS LOGISTIC SRL,R42327173,Bolintin Vale,1,2026.07,Operatori mici
AGROSILV CARGOTRANS  SRL,R47306961,Baia Mare,1,2026.07,Operatori mici
MARASPED INTERTRANS,R15656292,Baia Mare,1,2026.07,Operatori mici
NEO SPEDITION LOGISTICS SRL,R32036843,Drobeta Turnu Severin,1,2026.07,Operatori mici
TRISGROUP SRL,R53255927,Iasi,1,2026.07,Operatori mici
GLOBAL ELIT TRANS SRL,R52788158,Iasi,1,2026.07,Operatori mici
NOROCELBOBOCSPEDITION SRL,R51503805,Hinova,1,2026.07,Operatori mici
FRI LOGIS SRL,R38796619,Ludus,1,2026.07,Operatori mici
IASEI ROTRANS EXPERT SRL,R46471855,Baia Sprie,1,2026.07,Operatori mici
COCRIS EXPEDITII SRL,R44087824,Baia Sprie,1,2026.07,Operatori mici
MA SCUT TRANS SRL,R47976899,Iasi,1,2026.07,Operatori mici
TAYLOR TRUCK SRL,R40603990,Iasi,1,2026.07,Operatori mici
DADY CLIM TRANS SRL,R45527419,Iasi,1,2026.07,Operatori mici
DAV AUTO BOSS SRL,R44265379,Iasi,1,2026.07,Operatori mici
ASA CARGO LINE SRL,R38488554,Iasi,1,2026.07,Operatori mici
AUTO EXPAND ROT,R39353652,Iasi,1,2026.07,Operatori mici
SMG TRANSPORTO SRL,R38910909,Iasi,1,2026.07,Operatori mici
SIDO TRANS SRL,R13868264,Sovata,1,2026.07,Operatori mici
TOP ELECTRO SRL,R1205349,Sangeorgiu de Mures,1,2026.07,Operatori mici
MARCOTRANS SRL,R1281184,Sancraiu de Mures,1,2026.07,Operatori mici
PROTRANS SRL,R4102283,Targu Mures,1,2026.07,Operatori mici
ANDI CRIS TRANS,R15415316,Targu Mures,1,2026.07,Operatori mici
SC TROFIN TRANS HELLAS SRL,R49653827,Piatra Neamt,1,2026.07,Operatori mici
LAURA  SI ANDREI SRL,R39763237,Albesti Paleologu,1,2026.07,Operatori mici
VIVATI TRANS S.R.L,R27884308,Blejoi,1,2026.07,Operatori mici
RAIKO RCD LOGISTIC SRL,R34762648,Magurele,1,2026.07,Operatori mici
MIRA MARK LOGISTIC SRL,R47911695,Slatina,1,2026.07,Operatori mici
METEOR IMPEX SRL,R805728,Medias,1,2026.07,Operatori mici
AKDIA SPECTRA LOGISTIC S.R.L.,R41892977,Ploiesti,1,2026.07,Operatori mici
TAM TUNCAY LOGISTIC SRL,R46964136,Ploiesti,1,2026.07,Operatori mici
SC BOZDEMIR LOGISTIC SRL,R51762630,Ploiesti,1,2026.07,Operatori mici
ETMACOM INTERNATIONAL SRL,R48299331,Ploiesti,1,2026.07,Operatori mici
CRISS INTERLOGISTIC,R39480494,Ploiesti,1,2026.07,Operatori mici
COSOAN TRANS SPEDITION SRL,R34679462,Bascov,1,2026.07,Operatori mici
RNS ON WHEELS SRL,R50197309,Bogati,1,2026.07,Operatori mici
KOSTY  EVY  TRANS SRL,R48766240,Bogati,1,2026.07,Operatori mici
SILVIU MAR TRANS LOGISTIC SRL,R32355770,Cateasca,1,2026.07,Operatori mici
STEFAN & GEORGY SPEDITIONS SRL,R42824962,Bascov,1,2026.07,Operatori mici
CRISMAN RAMON TRANS,R40541773,Baiculesti,1,2026.07,Operatori mici
MIHAI&IONIK SPED PROSPER SRL,R35835691,Bascov,1,2026.07,Operatori mici
NELMON TRADING SRL,R28107016,Alba Iulia,1,2026.07,Operatori mici
NEXTLOG SRL,R51536152,Alba Iulia,1,2026.07,Operatori mici
ALIMAR TRANS 2019 SRL,R40649695,Pitesti,1,2026.07,Operatori mici
M TUNC TRANSPORT SRL,R46321793,Pitesti,1,2026.07,Operatori mici
ALEX TRANSPORT MARFURI 2007 SRL,R22161440,Pitesti,1,2026.07,Operatori mici
