Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
RCG-REAL CARGO GROUP SRL,R50938828,"Bucuresti,sector 1",1,2026.07,Operatori mici
GEOSAN LOGISTIC S.R.L.,R48540463,"Bucuresti,sector 1",1,2026.07,Operatori mici
ENARALIC TRANS SRL,R38164507,Ionesti,1,2026.07,Operatori mici
MARBIA SPEDITION SRL,R41905520,sat Tantareni,1,2026.07,Operatori mici
RLS TRANSPORT SRL,R50058254,Titesti,1,2026.07,Operatori mici
MODEUROTRANS SRL,R43902252,"Sat.Bratuleni, Comuna Miroslava",1,2026.07,Operatori mici
SRH TRANS SRL,R44091809,Bucuresti Sector 2,1,2026.07,Operatori mici
FIRMA TRANSPORT JARDEL SPEDITION SRL,R44361562,Sector 6,1,2026.07,Operatori mici
IULIAN NIKOLAS RADID TRANS,R42876902,Manastioara,1,2026.07,Operatori mici
CORI ETALON TRANS SRL,R33466415,UNGHENI,1,2026.07,Operatori mici
SABEL TRANS OIL,R35603691,"Bucure?ti, Sector 2",1,2026.07,Operatori mici
TUDOR EL TRANS,R44517824,Potocelu,1,2026.07,Operatori mici
DAPAN TRANS,R48811767,SAT VISINA,1,2026.07,Operatori mici
TZA & DORNEA TRANS SRL,R47105739,"SATU NOU, MUNTENII DE SUS",1,2026.07,Operatori mici
DREIWERTRANS,R6723554,BUCOVAT,1,2026.07,Operatori mici
REGMAR TRANS SRL,R36935427,MARSANI,1,2026.07,Operatori mici
ANDREICA P. GHEORGHE INTREPRINDERE INDIVIDUALA,R33134653,FERESTI,1,2026.07,Operatori mici
RIPROTRANS EXPERT SRL,R39165470,RAFOV,1,2026.07,Operatori mici
SV TRANS LINE SRL,R49601518,BREAZU,1,2026.07,Operatori mici
LCM TRANSPORT S.R.L.,R50374613,MUN. CÂMPULUNG,1,2026.07,Operatori mici
REBECA & ANASTASIA TRANS SRL,R47007587,SPRING,1,2026.07,Operatori mici
SELANI NUC SRL,R41650450,SAT VITANESTI,1,2026.07,Operatori mici
NEX TRANS SRL,R16007595,Onesti,2,2026.07,Operatori mici
BETON BANAT,R24582720,Oravita,8,2026.07,Operatori mici
RAPID SPED SRL,R14660600,Targu Secuiesc,3,2026.07,Operatori mici
EUROTRANSORIENT AUTO,R477019,"BUCURESTI, SECTOR 6",3,2026.07,Operatori mici
MAN TRANS 2006 SRL,R19154604,Maracineni,5,2026.07,Operatori mici
MGD SIB SRL,R34999793,Selimbar,3,2026.07,Operatori mici
BIM SRL,R3572228,Sibiu,8,2026.07,Operatori mici
RANCAR TRANS  SRL,R50238727,Bucuresti,2,2026.07,Operatori mici
IZO VILLAS SRL,R10455220,Sacele,3,2026.07,Operatori mici
BUSINESS BUILDERS MANAGEMENT TRANSPORT SRL,R29503310,Bucuresti,4,2026.07,Operatori mici
NESO MATTINA SRL,R46219883,Selimbar,2,2026.07,Operatori mici
SEBWOLF TRUCK TRANS S.R.L.,R38468034,Suceava,2,2026.07,Operatori mici
TRANS BATE SRL,R28570150,Recas,2,2026.07,Operatori mici
SGT CARGO SPEDITION SRL,R34202357,Granicesti,2,2026.07,Operatori mici
B & B RO-TRACKS SPEED CONCEPT S.R.L.,R41514912,Voluntari,2,2026.07,Operatori mici
MIKE-RECFOREST SRL,R29064509,Repedea,2,2026.07,Operatori mici
IEZERUL MIC SRL,R10991830,Sebes,2,2026.07,Operatori mici
ISABEL TRANS SRL,R24561736,Sebes,2,2026.07,Operatori mici
ATIMAR TRANS SRL,R9758867,Gilau,2,2026.07,Operatori mici
MAFTEI PAT SRL,R17134155,Vaslui,2,2026.07,Operatori mici
BUCOVINA CONSTRUCT HOUSE SRL,R42509485,Vama,2,2026.07,Operatori mici
AFA TRANS LOGISTIC SRL,R43377161,Lunca Cetatuii,2,2026.07,Operatori mici
FAP-SPEDITION SRL,R27408673,Bacau,2,2026.07,Operatori mici
MARBACH S.R.L.,R16260228,Bacau,2,2026.07,Operatori mici
SERGIU & BIA TRANS SRL,R38371901,Arad,2,2026.07,Operatori mici
MEDGAZ SRL,R12752490,Constanta,2,2026.07,Operatori mici
TRANSPORT GENERAL CHRISTIAN SRL,R43863005,Oltenita,2,2026.07,Operatori mici
MEGA CONDOR VITAL,R41425530,Gaesti,2,2026.07,Operatori mici
BO RANTRANS SRL,R32747757,Balc,2,2026.07,Operatori mici
ALMELSTEL TRANS SRL,R36123535,Iasi,2,2026.07,Operatori mici
TRANSPORT STAR COMPANY,R48019237,Barcanesti,2,2026.07,Operatori mici
ROMPALET 24 SRL,R23182505,Dumbraveni,2,2026.07,Operatori mici
PREMIER SLICKLINE SA,R37330237,Campina,2,2026.07,Operatori mici
WOOD N IOANA SRL,R30562256,Baia Mare,2,2026.07,Operatori mici
EVEMAR GLOBAL TRANSPORT SRL,R37449034,Bacu,2,2026.07,Operatori mici
HERMANOS TIBICHI TRANS,R42415720,popeni,2,2026.07,Operatori mici
BYABABY TRANS,R39434560,Barlad,2,2026.07,Operatori mici
SANABIA TRANSPORT SRL,R45305021,SAT ISTRIA,3,2026.07,Operatori mici
RTR ALESS-MICHELLE TRANS SRL,R35381358,Tincova,3,2026.07,Operatori mici
FLORYMUGUR-TRANS SRL,R26336145,Balinesti,3,2026.07,Operatori mici
CORNEX,R9738193,Arad,3,2026.07,Operatori mici
MERTOL MB TRANSPORT SRL,R43150281,Pitesti,3,2026.07,Operatori mici
C I A ABOLIV SRL,R2872537,Mihai Viteazu,3,2026.07,Operatori mici
VIOMAV TRANSPORT SRL,R40093777,Tomsani,3,2026.07,Operatori mici
WICK TRANS,R18670763,Dumbravita,3,2026.07,Operatori mici
BAION COMIMPEX,R9242628,Suceava,3,2026.07,Operatori mici
TRANS MARIA VLAD S.R.L.,R32842600,Falticeni,3,2026.07,Operatori mici
JC GAZ TRANSPORT SRL,R34066336,Oradea,4,2026.07,Operatori mici
BECHIAN ION CATALIN P.F.A.,R34173065,Radauti,4,2026.07,Operatori mici
ITLOG SRL,R36705460,Ramnicu Valcea,4,2026.07,Operatori mici
TRANS GIGANT LOGISTICS SRL,R32968952,Lumina,4,2026.07,Operatori mici
ALVEROSAL SRL,R24460057,Salonta,4,2026.07,Operatori mici
SACAR TRANSPORT ST SRL,R44007752,Lipova,4,2026.07,Operatori mici
ALPA CONDOR TRANS SRL,R33985722,Sant,4,2026.07,Operatori mici
SC PALTRANS 89 ARL,R39616902,Starchiojd,4,2026.07,Operatori mici
EMA SERV S. R. L.,R9794150,Raducaneni,4,2026.07,Operatori mici
FARM ECO LAMB SRL,R41746009,Vladimirescu,4,2026.07,Operatori mici
OAN TRANS MARY IRY SRL,R20689547,Bradu,4,2026.07,Operatori mici
TRANSLAURA EXPRES SRL,R18002438,Girisu de Cris,4,2026.07,Operatori mici
BRUTUS IMPEX,R6348390,Manesti,4,2026.07,Operatori mici
SC.ANTOMAR SOLUTIONS.S.R.L,R26964956,Ploiesti,4,2026.07,Operatori mici
NAR TRANSPORT INTERN&INTERNATIONAL SRL,R40178180,Jilava,4,2026.07,Operatori mici
NANU 45 CARGO SRL,R42299359,IEPURESTI,4,2026.07,Operatori mici
GOKDEMIR LOGISTIC SRL,R45453613,Ganeasa,5,2026.07,Operatori mici
DENDAR SPEDITION & LOGISTIC S.R.L.,R44971595,Arad,5,2026.07,Operatori mici
GARANT-NORD TRANS SRL,R40698361,Gorban,5,2026.07,Operatori mici
LUCSEL TOTAL TRANS SRL,R43509963,Harsova,5,2026.07,Operatori mici
BLACK & WHITE TRAVEL SRL,R18390437,Ovidiu,6,2026.07,Operatori mici
TEOFIL TRANSPORT SRL,R34811678,Oradea,6,2026.07,Operatori mici
GEMA HELEN NET SRL,R42576921,Carei,7,2026.07,Operatori mici
PAA  WIND SOLUTION SRL,R40084701,POPESTI-LEORDENI,8,2026.07,Operatori mici
ONEPOINT TOPSPEDITION SRL,R38263942,Pitesti,9,2026.07,Operatori mici
